,Date (LST),Year,Month,Day,Hour,Value,QC Name
99,1/5/2016 3:00,2016,1,5,3,7,Valid
100,1/5/2016 4:00,2016,1,5,4,8,Valid
101,1/5/2016 5:00,2016,1,5,5,9,Valid
102,1/5/2016 6:00,2016,1,5,6,9,Valid
103,1/5/2016 7:00,2016,1,5,7,14,Valid
104,1/5/2016 8:00,2016,1,5,8,11,Valid
105,1/5/2016 9:00,2016,1,5,9,13,Valid
106,1/5/2016 10:00,2016,1,5,10,12,Valid
107,1/5/2016 11:00,2016,1,5,11,12,Valid
108,1/5/2016 12:00,2016,1,5,12,14,Valid
109,1/5/2016 13:00,2016,1,5,13,12,Valid
110,1/5/2016 14:00,2016,1,5,14,15,Valid
111,1/5/2016 15:00,2016,1,5,15,33,Valid
112,1/5/2016 16:00,2016,1,5,16,45,Valid
113,1/5/2016 17:00,2016,1,5,17,54,Valid
114,1/5/2016 18:00,2016,1,5,18,72,Valid
115,1/5/2016 19:00,2016,1,5,19,86,Valid
116,1/5/2016 20:00,2016,1,5,20,91,Valid
117,1/5/2016 21:00,2016,1,5,21,101,Valid
118,1/5/2016 22:00,2016,1,5,22,76,Valid
119,1/5/2016 23:00,2016,1,5,23,55,Valid
120,1/6/2016 0:00,2016,1,6,0,97,Valid
121,1/6/2016 1:00,2016,1,6,1,47,Valid
122,1/6/2016 2:00,2016,1,6,2,30,Valid
123,1/6/2016 3:00,2016,1,6,3,37,Valid
124,1/6/2016 4:00,2016,1,6,4,42,Valid
125,1/6/2016 5:00,2016,1,6,5,28,Valid
126,1/6/2016 6:00,2016,1,6,6,17,Valid
127,1/6/2016 7:00,2016,1,6,7,27,Valid
128,1/6/2016 8:00,2016,1,6,8,30,Valid
129,1/6/2016 9:00,2016,1,6,9,40,Valid
130,1/6/2016 10:00,2016,1,6,10,19,Valid
131,1/6/2016 11:00,2016,1,6,11,16,Valid
132,1/6/2016 12:00,2016,1,6,12,7,Valid
133,1/6/2016 13:00,2016,1,6,13,11,Valid
134,1/6/2016 14:00,2016,1,6,14,10,Valid
135,1/6/2016 15:00,2016,1,6,15,10,Valid
136,1/6/2016 16:00,2016,1,6,16,9,Valid
137,1/6/2016 17:00,2016,1,6,17,7,Valid
138,1/6/2016 18:00,2016,1,6,18,11,Valid
139,1/6/2016 19:00,2016,1,6,19,11,Valid
140,1/6/2016 20:00,2016,1,6,20,11,Valid
141,1/6/2016 21:00,2016,1,6,21,9,Valid
142,1/6/2016 22:00,2016,1,6,22,7,Valid
143,1/6/2016 23:00,2016,1,6,23,12,Valid
144,1/7/2016 0:00,2016,1,7,0,12,Valid
145,1/7/2016 1:00,2016,1,7,1,8,Valid
146,1/7/2016 2:00,2016,1,7,2,8,Valid
147,1/7/2016 3:00,2016,1,7,3,10,Valid
148,1/7/2016 4:00,2016,1,7,4,8,Valid
149,1/7/2016 5:00,2016,1,7,5,7,Valid
150,1/7/2016 6:00,2016,1,7,6,8,Valid
151,1/7/2016 7:00,2016,1,7,7,9,Valid
152,1/7/2016 8:00,2016,1,7,8,9,Valid
153,1/7/2016 9:00,2016,1,7,9,11,Valid
154,1/7/2016 10:00,2016,1,7,10,12,Valid
155,1/7/2016 11:00,2016,1,7,11,7,Valid
156,1/7/2016 12:00,2016,1,7,12,6,Valid
157,1/7/2016 13:00,2016,1,7,13,9,Valid
158,1/7/2016 14:00,2016,1,7,14,7,Valid
159,1/7/2016 15:00,2016,1,7,15,10,Valid
160,1/7/2016 16:00,2016,1,7,16,11,Valid
161,1/7/2016 17:00,2016,1,7,17,14,Valid
162,1/7/2016 18:00,2016,1,7,18,16,Valid
163,1/7/2016 19:00,2016,1,7,19,13,Valid
164,1/7/2016 20:00,2016,1,7,20,18,Valid
165,1/7/2016 21:00,2016,1,7,21,12,Valid
166,1/7/2016 22:00,2016,1,7,22,18,Valid
167,1/7/2016 23:00,2016,1,7,23,16,Valid
168,1/8/2016 0:00,2016,1,8,0,17,Valid
169,1/8/2016 1:00,2016,1,8,1,14,Valid
